year,industry1,job_vacancy
1990,manufacturing,24300
1990,construction,2200
1990,services,17100
1990,others,100
1991,manufacturing,19300
1991,construction,2500
1991,services,16200
1991,others,100
1992,manufacturing,18000
1992,construction,3100
1992,services,17000
1992,others,100
1993,manufacturing,16200
1993,construction,3400
1993,services,18500
1993,others,-
1994,manufacturing,18800
1994,construction,3500
1994,services,21400
1994,others,-
1995,manufacturing,19300
1995,construction,4200
1995,services,22700
1995,others,-
1996,manufacturing,15700
1996,construction,6800
1996,services,21700
1996,others,-
1997,manufacturing,13800
1997,construction,7200
1997,services,21000
1997,others,-
1998,manufacturing,5200
1998,construction,2700
1998,services,10400
1998,others,100
1999,manufacturing,6000
1999,construction,1900
1999,services,12600
1999,others,300
2000,manufacturing,8600
2000,construction,1600
2000,services,17100
2000,others,200
2001,manufacturing,3800
2001,construction,900
2001,services,10900
2001,others,300
2002,manufacturing,5100
2002,construction,700
2002,services,8900
2002,others,400
2003,manufacturing,4300
2003,construction,600
2003,services,7500
2003,others,300
2004,manufacturing,5400
2004,construction,600
2004,services,10200
2004,others,300
2005,manufacturing,6200
2005,construction,700
2005,services,12000
2005,others,200
2006,manufacturing,8300
2006,construction,1600
2006,services,21000
2006,others,300
2007,manufacturing,8600
2007,construction,2400
2007,services,27100
2007,others,500
2008,manufacturing,6500
2008,construction,3000
2008,services,27800
2008,others,500
2009,manufacturing,4700
2009,construction,1900
2009,services,23500
2009,others,400
2010,manufacturing,8200
2010,construction,2700
2010,services,32900
2010,others,400
2011,manufacturing,8900
2011,construction,3600
2011,services,39600
2011,others,600
2012,manufacturing,7100
2012,construction,3400
2012,services,37300
2012,others,800
2013,manufacturing,7800
2013,construction,3800
2013,services,43200
2013,others,600
2014,manufacturing,8500
2014,construction,3600
2014,services,50700
2014,others,500
2015,manufacturing,7000
2015,construction,2900
2015,services,48900
2015,others,500
2016,manufacturing,5800
2016,construction,2000
2016,services,41300
2016,others,400
2017,manufacturing,6500
2017,construction,1700
2017,services,40100
2017,others,400
2018,manufacturing,8300
2018,construction,3000
2018,services,46200
2018,others,400
2019,manufacturing,6600
2019,construction,2300
2019,services,43600
2019,others,400
2020,manufacturing,5500
2020,construction,2700
2020,services,39900
2020,others,300
